,id,name
1,1,Розовый
2,2,Бежевый
3,3,Коричневый
4,4,Темно-розовый
5,5,Светло-голубой
6,6,Светло-синий
7,7,Розовато-лавандовый
8,8,Оранжево-красный
9,9,Красный
10,10,Оранжевый
11,11,Темный хаки
12,12,Белый
13,13,Темно-оранжевый
14,14,Ярко-розовый
15,15,Светло-желтый
16,16,Сине-фиолетовый
17,17,Серый
18,18,Светло-зеленый
19,19,Слоновая кость
20,20,Тусклый серый
21,21,Пурпурный
22,22,Бледно-зеленый
23,23,Темно-голубой
24,24,Светло-розовый
25,25,Хаки
26,26,Бледно-Бирюзовый
27,27,Бирюзовый
28,28,Индиго
29,29,Малиновый
30,30,Темно-серый
31,31,Золотой
32,32,Лазурный
33,33,Темно-бирюзовый
34,34,Синий
35,35,Каштановый
36,36,Аквамарин
37,37,Цвет морской волны
38,38,Темно-зеленый
39,39,Темно-красный
40,40,Серебряный
41,41,Фиолетовый
42,42,Светло-серый
43,43,Шоколадный
44,44,Коралловый
45,45,Темно-фиолетовый
46,46,Желто-зеленый
47,47,Васильковый
48,48,Зеленый
49,49,Античный Белый
