,id,address,number_phone,time_start,time_end
1,1,"п. Улан-Удэ, бул. Клубный, д. 4/4, 041656",+7 020 723 6203,2020-11-14,2020-11-16
2,2,"д. Орел, алл. Зои Космодемьянской, д. 13 к. 8, 154924",+7 (803) 128-03-68,2022-02-08,2022-02-17
3,3,"д. Лянтор, алл. Широкая, д. 2/9 к. 6/3, 810335",8 (907) 864-07-27,2020-03-14,2020-03-21
4,4,"ст. Назрань, наб. Каштановая, д. 564, 410092",+7 (137) 056-1626,2021-06-29,2021-07-07
5,5,"д. Губаха, ш. Рязанское, д. 82 стр. 579, 513322",88642684816,2021-08-24,2021-08-30
6,6,"к. Северо-Курильск, алл. Кутузова, д. 82 к. 3/9, 664354",+7 508 746 97 75,2021-09-11,2021-09-14
7,7,"клх Рыльск, пр. Глинки, д. 19 к. 9, 790699",8 (883) 053-34-46,2020-01-22,2020-01-24
8,8,"г. Шарья, алл. Верхняя, д. 145 к. 7, 665332",8 442 032 97 38,2020-12-12,2020-12-16
9,9,"к. Сеймчан, бул. Тенистый, д. 247 стр. 94, 856951",8 (770) 987-0091,2020-04-02,2020-04-07
10,10,"г. Вязьма, алл. Таманская, д. 3, 255833",+7 (918) 326-9423,2021-07-10,2021-07-11
11,11,"д. Сунтар, алл. Геологов, д. 8/4 к. 9/7, 318769",+79974424386,2022-10-01,2022-10-11
12,12,"г. Владимир, бул. Космический, д. 9/3, 728720",+7 (308) 249-5343,2020-08-17,2020-08-25
13,13,"п. Шатура, наб. Тимирязева, д. 5/6, 514617",+7 891 748 3056,2022-01-07,2022-01-12
14,14,"ст. Рыбинск, бул. Киевский, д. 628, 018146",8 785 644 84 59,2022-03-30,2022-04-09
15,15,"ст. Москва, МГУ, ул. Заовражная, д. 6 к. 6/1, 105920",+70051659775,2020-05-12,2020-05-17
16,16,"ст. Шаховская, ш. Главное, д. 9 стр. 33, 621465",8 (220) 693-1234,2022-04-02,2022-04-04
17,17,"клх Рязань, ш. Омское, д. 662 к. 923, 749077",+77943408239,2020-05-10,2020-05-14
18,18,"г. Шумиха, алл. Л.Толстого, д. 9/6 стр. 10, 962339",8 593 717 4366,2021-12-25,2021-12-30
19,19,"п. Белогорск (Амур.), алл. Фестивальная, д. 239 стр. 403, 356861",+7 606 173 5027,2022-02-27,2022-03-07
20,20,"к. Осташков, пер. 40 лет Победы, д. 510, 021554",8 (768) 022-3710,2021-06-25,2021-06-27
21,21,"клх Россошь, бул. Петровский, д. 316, 987882",+7 800 851 50 37,2021-12-07,2021-12-13
22,22,"г. Ставрополь, алл. Урицкого, д. 918, 245616",8 (193) 440-3723,2022-09-17,2022-09-25
23,23,"д. Малая Вишера, пер. Карла Маркса, д. 5/1 к. 272, 343183",8 007 586 0080,2020-01-10,2020-01-16
24,24,"с. Магас, бул. Дружба, д. 4/4 к. 335, 308668",+7 (813) 788-83-03,2020-08-15,2020-08-21
25,25,"п. Магадан, алл. Привокзальная, д. 1, 181101",8 (020) 273-71-58,2022-03-05,2022-03-08
26,26,"ст. Эльбрус, ул. Гончарова, д. 939 к. 132, 449928",8 979 331 46 76,2020-09-11,2020-09-13
27,27,"г. Завьялиха, пер. Безымянный, д. 3/1, 431447",+7 (449) 403-33-70,2021-10-19,2021-10-28
28,28,"к. Шенкурск, пр. Иванова, д. 8 стр. 99, 166315",+7 651 705 77 04,2020-10-26,2020-10-29
29,29,"д. Боровск, бул. Плеханова, д. 4, 561076",84329844811,2022-12-01,2022-12-04
30,30,"с. Шилка, пр. Поселковый, д. 20 к. 60, 876360",8 681 594 46 77,2022-01-23,2022-01-25
31,31,"клх Серпухов, пер. Шолохова, д. 2 стр. 34, 429146",8 664 128 88 99,2020-07-03,2020-07-05
32,32,"д. Агата, алл. Дальневосточная, д. 90 к. 2, 565963",8 052 684 05 00,2021-10-03,2021-10-11
