,id,client_id,product_id
1,1,60,885
2,2,52,130
3,3,24,1205
4,4,63,357
5,5,69,60
6,6,75,1149
7,7,52,595
8,8,11,1448
9,9,63,765
10,10,54,157
11,11,55,280
12,12,56,94
13,13,70,1119
14,14,58,1167
15,15,90,134
16,16,46,546
17,17,45,1242
18,18,40,749
19,19,19,305
20,20,17,1019
21,21,4,262
22,22,89,689
23,23,112,946
24,24,60,694
25,25,63,823
26,26,68,1443
27,27,74,459
28,28,73,117
29,29,49,1226
30,30,35,323
31,31,51,741
32,32,25,220
33,33,60,438
34,34,114,610
35,35,71,115
36,36,78,741
37,37,21,1453
38,38,118,750
39,39,62,806
40,40,107,1045
41,41,10,702
42,42,91,1003
43,43,25,1394
44,44,10,344
45,45,70,408
46,46,56,1276
47,47,3,1084
48,48,31,981
49,49,29,643
50,50,54,1099
51,51,71,728
52,52,99,826
53,53,98,1052
54,54,18,198
55,55,53,494
56,56,52,539
57,57,97,1139
58,58,114,39
59,59,12,1061
60,60,56,888
61,61,16,518
62,62,18,17
63,63,83,449
64,64,119,607
65,65,92,82
66,66,10,1388
67,67,10,1113
68,68,14,218
69,69,15,1215
70,70,37,1406
71,71,60,280
72,72,61,1268
73,73,104,4
74,74,97,907
75,75,53,168
76,76,16,1236
77,77,109,248
78,78,106,144
79,79,59,130
80,80,30,538
81,81,98,1056
82,82,9,500
83,83,34,776
84,84,14,409
85,85,101,358
86,86,94,839
87,87,113,243
88,88,73,739
89,89,24,808
90,90,67,868
91,91,37,815
92,92,73,1448
93,93,101,1019
94,94,99,1000
95,95,28,1017
96,96,97,745
97,97,64,294
98,98,64,68
99,99,38,216
100,100,55,1307
101,101,84,14
102,102,74,1390
103,103,101,522
104,104,58,866
105,105,119,334
106,106,16,590
107,107,3,444
108,108,114,584
109,109,46,607
110,110,106,1347
111,111,68,590
112,112,63,765
113,113,61,1206
114,114,54,862
115,115,86,208
116,116,99,736
117,117,10,976
118,118,18,1444
119,119,79,1026
120,120,94,383
121,121,114,414
122,122,57,1277
123,123,65,1284
124,124,95,115
125,125,7,1138
126,126,84,475
127,127,56,1055
128,128,88,613
129,129,37,14
130,130,101,174
131,131,114,1414
132,132,84,205
133,133,28,630
134,134,71,543
135,135,97,1217
136,136,48,836
137,137,55,757
138,138,18,657
139,139,32,1480
140,140,12,419
141,141,70,203
142,142,103,1449
143,143,39,700
144,144,23,240
145,145,43,488
146,146,108,562
147,147,12,565
148,148,115,1444
149,149,48,214
150,150,93,731
151,151,53,1371
152,152,120,253
153,153,40,254
154,154,78,1143
155,155,120,1378
156,156,24,591
157,157,97,1277
158,158,30,947
159,159,5,318
160,160,117,350
161,161,90,1098
162,162,42,80
163,163,49,1295
164,164,15,1112
165,165,66,1315
166,166,86,83
167,167,48,302
168,168,84,967
169,169,105,37
170,170,12,1220
171,171,99,630
172,172,47,876
173,173,18,1128
174,174,5,226
175,175,117,415
176,176,94,682
177,177,28,1310
178,178,58,168
179,179,88,1341
180,180,7,118
181,181,75,936
182,182,113,827
183,183,32,669
184,184,120,732
185,185,44,1142
186,186,67,333
187,187,54,409
188,188,76,462
189,189,25,457
190,190,31,1289
191,191,18,1427
192,192,100,989
193,193,112,1215
194,194,42,443
195,195,45,615
196,196,101,649
197,197,11,13
198,198,25,723
199,199,82,723
200,200,26,1486
